method,context_recall,faithfulness,factual_correctness,answer_relevancy,context_entity_recall,noise_sensitivity_relevant
naive_rag,0.6666666666666666,0.9696969696969697,0.11,0.6292381303514291,0.24444444368888887,0.16310160427807488
bm25_rag,0.3333333333333333,0.9791666666666666,0.11,0.6303343260320466,0.24444444368888887,0.3157051282051282
contextual_compression_rag,0.5,0.8333333333333334,0.14333333333333334,0.6303424565660455,0.24444444368888887,0.3951734539969834
multi_query_rag,0.5,0.9833333333333334,0.15,0.62997434782784,0.24305555480179397,0.21666666666666667
parent_document_rag,0.4666666666666666,0.9649122807017544,0.15,0.6303284983322456,0.24444444368888887,0.2740740740740741
